"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS","3ER_NIVELL","2N_NIVELL","1ER_NIVELL",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934209913","Fax","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934293921","Tel.","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934293921","Tel.","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934209913","Fax","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934293921","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934209913","Fax","","","","","","","","Educacio infantil (Parvularis)","Educacio infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934209913","Fax","","","","","","","","Ensenyament infantil (3-6 anys)","Ensenyament infantil","Educacio",
"12134410","Centre Educatiu Amor de Dios","#","C","Travau","52","60","46","el Turo de la Peira","08","Nou Barris","08031","019","BARCELONA","41.431706","2.166917","430395.266","4587017.225","430487.197","4587218.205","934293921","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
"19112356","Llar d'Infants Els Gegants","#","Pg","Zona Franca","168","168","13","la Marina de Port","03","Sants-Montjuic","08038","019","BARCELONA","41.360236","2.139624","428036.075","4579104.949","428127.986","4579305.856","932964818","Tel.","","","","","","","","Ensenyament infantil (0-3 anys)","Ensenyament infantil","Educacio",
"19112356","Llar d'Infants Els Gegants","#","Pg","Zona Franca","168","168","13","la Marina de Port","03","Sants-Montjuic","08038","019","BARCELONA","41.360236","2.139624","428036.075","4579104.949","428127.986","4579305.856","932964818","Tel.","","","","","","","","Educacio Infantil (Llars d'infants)","Educacio infantil","Educacio",
